"GEOID","NAME","lon","lat","address"
"37067000100","Census Tract 1, Forsyth County, North Carolina",-80.2446952497756,36.0979224271229,"309 N Liberty St, Winston-Salem, NC 27101, USA"
"37067003908","Census Tract 39.08, Forsyth County, North Carolina",-80.3364022350359,36.1127271566588,"4374 Highland Lk Dr, Winston-Salem, NC 27106, USA"
"37067000900","Census Tract 9, Forsyth County, North Carolina",-80.248957764934,36.0842793474936,"715 S Green St, Winston-Salem, NC 27101, USA"
"37067003307","Census Tract 33.07, Forsyth County, North Carolina",-80.1017681879473,36.1026291950944,"4V3X+37 Kernersville, NC, USA"
"37067000302","Census Tract 3.02, Forsyth County, North Carolina",-80.2564509994213,36.1193782235101,"612 W Twenty-Third St, Winston-Salem, NC 27105, USA"
"37067001800","Census Tract 18, Forsyth County, North Carolina",-80.2087313977791,36.0774999449872,"1510 Pleasant St, Winston-Salem, NC 27107, USA"
"37067003904","Census Tract 39.04, Forsyth County, North Carolina",-80.3548832937724,36.0695908920724,"5317 Villas Ct, Winston-Salem, NC 27103, USA"
"37067002601","Census Tract 26.01, Forsyth County, North Carolina",-80.2964476248532,36.1209786806483,"1117 Silas Ridge Ct, Winston-Salem, NC 27106, USA"
"37067003905","Census Tract 39.05, Forsyth County, North Carolina",-80.325219254119,36.0895369062278,"120 Sullivan Way, Winston-Salem, NC 27104, USA"
"37067001601","Census Tract 16.01, Forsyth County, North Carolina",-80.2123094043425,36.1405054979012,"3170 Flanders Dr, Winston-Salem, NC 27105, USA"
"37067001901","Census Tract 19.01, Forsyth County, North Carolina",-80.2267449827566,36.0649272005635,"2623 Old Lexington Rd, Winston-Salem, NC 27107, USA"
"37067004014","Census Tract 40.14, Forsyth County, North Carolina",-80.3720712867966,36.0261628480082,"4340 Kinnamon Rd, Winston-Salem, NC 27103, USA"
"37067002704","Census Tract 27.04, Forsyth County, North Carolina",-80.2763848047728,36.1480901303765,"1911 Waycross Dr, Winston-Salem, NC 27106, USA"
"37067002702","Census Tract 27.02, Forsyth County, North Carolina",-80.2768882333654,36.1620267449151,"5083 University Pkwy, Winston-Salem, NC 27106, USA"
"37067002502","Census Tract 25.02, Forsyth County, North Carolina",-80.2990959577741,36.0994075688793,"3PX2+Q9 Winston-Salem, NC, USA"
"37067002705","Census Tract 27.05, Forsyth County, North Carolina",-80.2906567568961,36.1453676646564,"1826 Crowne Park Dr, Winston-Salem, NC 27106, USA"
"37067003311","Census Tract 33.11, Forsyth County, North Carolina",-80.1289303123091,36.0608680098349,"3V6C+8C Winston-Salem, NC, USA"
